Period,Area,Total Employed,Total Unemployed,Total Labour Force,Total Working Age Population,Weighted Unemployment Rate (%),Weighted Labour Participation Rate (%),Simple Mean Unemployment Rate (%),Simple Mean LPR (%)
Lockdown,Rural,398775044.0,119353319.9835794,518128363.9835794,1338124811.1650083,23.03547311441185,38.720481053817586,21.478399999999997,39.1728
Lockdown,Urban,170521785.0,58919913.17747709,229441698.1774771,688754029.5335478,25.67968841125885,33.312574350071586,26.931538461538462,34.55576923076923
Post-Lockdown,Rural,255485726.0,30225583.08851109,285711309.0885111,685030839.8936278,10.57906429568297,41.70780240096587,11.825200000000002,43.0976
Post-Lockdown,Urban,113864707.0,15628851.410413813,129493558.41041382,343877086.34046245,12.069211474504469,37.65693137291681,11.982000000000001,37.9992
Pre-Lockdown,Rural,3004973303.0,228248743.7987916,3233222046.798792,7387070588.903711,7.059482475841099,43.76866320535083,8.229049295774649,45.5168661971831
Pre-Lockdown,Urban,1387679854.0,135847656.75358963,1523527510.7535899,3761785561.6737146,8.91665268889005,40.500115856570346,10.909506578947367,42.22546052631579
