Period,Total Employed,Total Unemployed,Total Labour Force,Total Working Age Population,Weighted Unemployment Rate (%),Weighted Labour Participation Rate (%),Simple Mean Unemployment Rate (%),Simple Mean LPR (%)
Lockdown,569296829.0,178273233.16105652,747570062.1610565,2026878840.698556,23.847026811869483,36.88281939454306,24.258431372549015,36.81901960784314
Post-Lockdown,369350433.0,45854434.4989249,415204867.49892485,1028907926.2340903,11.043809475341385,40.35393808449097,11.9036,40.548399999999994
Pre-Lockdown,4392653157.0,364096400.5523813,4756749557.5523815,11148856150.577425,7.654310914357443,42.665807983413785,9.61486394557823,43.81518707482993
