Region,Lockdown,Post-Lockdown,Pre-Lockdown,Spike
Puducherry,75.55657640565987,4.550000000000001,1.817306460710843,73.73926994494903
Jharkhand,53.18140750954953,20.981278811502584,11.510970792859048,41.67043671669048
Tamil Nadu,41.91038501405339,13.455608714574952,3.1517356442519953,38.7586493698014
Bihar,46.39506913137383,19.5174954867169,11.82272887442796,34.57234025694587
Karnataka,25.071324912481373,9.22935906718809,3.3007385935157787,21.770586318965595
Telangana,22.12267404741931,15.479127665620652,4.830035780212413,17.292638267206897
Delhi,32.07774887449362,18.189747035633204,15.323928134233611,16.75382074026001
Haryana,39.611510012762416,33.56487760361359,22.85816876838577,16.753341244376646
Madhya Pradesh,20.202515725471926,8.242499961111012,4.10981838238759,16.092697343084335
Kerala,23.21055071101904,20.077360193317663,7.225957817830025,15.984592893189014
Andhra Pradesh,18.931039429097083,2.10739102006549,4.775526828606243,14.155512600490841
Maharashtra,18.64296897076243,9.649031679442649,5.162786333594435,13.480182637167992
Uttar Pradesh,21.194687211614266,9.64065381687365,9.75093051439143,11.443756697222836
West Bengal,17.410975363285015,6.470571668506814,6.305191607450292,11.105783755834723
Odisha,15.388822770354551,4.167374647906417,4.55711016678331,10.83171260357124
Gujarat,16.060048339720215,2.8245912198112286,5.257949657420327,10.802098682299889
Punjab,20.424642387212405,16.81593321100705,10.4876307327805,9.937011654431904
Goa,14.768072509875221,,9.224478937122273,5.543593572752949
Meghalaya,7.784420800945398,1.35,2.609317253958429,5.1751035469869695
Assam,9.425357466746355,0.600192313316973,5.0576614555109245,4.367696011235431
Rajasthan,15.75042619076239,13.658838365510583,11.892205195737409,3.858220995024981
Himachal Pradesh,20.17211468699916,2.094452787047714,17.73996766782442,2.4321470191747387
Uttarakhand,7.245844360122032,8.699312230755007,5.331405909447773,1.9144384506742584
Tripura,28.77470659576672,21.284756423903186,28.497639684302868,0.27706691146385154
Sikkim,7.503041046984908,4.719232258437711,7.4463628714230055,0.05667817556190258
Chhattisgarh,7.279489250520302,14.449684197261156,7.286034371865399,-0.0065451213450966605
Jammu & Kashmir,5.220038915356615,18.97,16.666217060183023,-11.446178144826408
Chandigarh,,7.22,16.918662712227587,
